Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio
XP,433628992,8135400,8681055.0,0.937144160473583,0.01876119943566873
MPW,600400000,18522600,12415265.0,1.491921437037389,0.03085043304463691
BBAI,250586000,80455700,45261705.0,1.7775667089872111,0.32107021142442116
UMC,2512140032,10388800,10914695.0,0.9518177099772371,0.004135438258881263
HBAN,1452809984,18751100,13325950.0,1.4071116880972838,0.012906780794810398
HSAI,97445000,2558900,5403635.0,0.473551599987786,0.02625994150546462
LESL,184968992,8137900,8284020.0,0.9823612207599692,0.04399602285771228
MRVL,865299968,21497800,19348320.0,1.1110938830864903,0.024844332364519398
PCG,2193509888,17671200,20113800.0,0.8785609879784029,0.008056129628899124
PAGS,191528992,7704800,7744925.0,0.9948191880489482,0.0402278522929834
NKE,1190599936,27067600,12243775.0,2.210723408425914,0.022734420842434853
NEE,2056400000,13731700,9504100.0,1.4448185519933503,0.006677543279517604
TNYA,79220496,6567700,7160280.0,0.9172406665661119,0.08290405048713656
CLF,493944000,21225300,14485130.0,1.4653165004387259,0.04297106554589184
AG,301864000,7216300,8734895.0,0.8261461643213799,0.023905798637797154
BCS,3599729920,18589800,11990435.0,1.5503857866707922,0.005164220764651143
KDP,1356450048,17074100,10178585.0,1.677453201992222,0.012587341513367694
AUR,1351559936,10457000,12278300.0,0.8516651327952567,0.00773698577581986
ORCL,2796960000,8386400,10424565.0,0.8044844077426732,0.002998398260969052
ZETA,212558000,7833100,9309860.0,0.8413767768795664,0.03685158874283725
SLB,1412150016,16159200,11145150.0,1.4498862734014346,0.011442976891203037
NGD,790900992,10756800,8179220.0,1.315137629260492,0.013600690995213723
DJT,216924000,8413000,13057485.0,0.6443047799786865,0.038783168298574616
DIS,1810940032,9468500,8609100.0,1.0998246041978836,0.005228500023572288
KMI,2221639936,20249900,12828440.0,1.578516171880603,0.009114843351465573
URBN,92277104,1666300,2488940.0,0.6694817874275796,0.01805756712954494
SEDG,57950100,5629200,5243085.0,1.0736427122581458,0.09713874523081065
NFE,267120000,5141000,5596650.0,0.9185852250900092,0.019246031746031747
HAL,878502016,14175900,9222250.0,1.5371411531892976,0.016136445610615422
LRCX,1286690048,17426400,12076100.0,1.4430486663740778,0.01354358808252786
OKLO,136796000,33848400,13676095.0,2.4750047436786597,0.24743705956314513
ERIC,3070000128,19648200,16223465.0,1.2110976292672373,0.006400064879736708
NTNX,267928000,2540100,4224000.0,0.6013494318181818,0.009480532083246245
CVX,1782919936,16544300,8907470.0,1.8573511895072339,0.00927932862600511
RUN,224339008,12947400,7932195.0,1.6322594187359236,0.057713547525359475
JWN,164907008,3197100,2714685.0,1.1777057006614027,0.019387290078054172
HIVE,129042000,7991200,8709275.0,0.9175505423815415,0.06192712450210009
CVS,1258409984,26006200,14273985.0,1.8219298955407337,0.02066591995506609
KODK,80400000,1341200,2448900.0,0.5476744660868145,0.016681592039800994
API,73030000,2456100,2464855.0,0.9964480669248292,0.033631384362590715
