Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio,VWAP,recentClose,momentum (%),latestCrossover,crossoverDate,daysSinceCrossover,RSI,latestUpper,latestMiddle,latestLower
AVGO,4670580224,131721900,43779240.0,3.00877539217218,0.0282024702890533,173.44428313937607,220.7899932861328,27.297359872455846,Bullish,2024-12-04,18,63.826714240170055,245.19496906303692,188.15649948120117,131.1180298993654
JOBY,765086016,27679000,22395110.0,1.2359394528537704,0.036177631561887,6.299065800537556,7.690000057220459,22.08159591798838,Bearish,2024-12-12,10,52.375138777249596,8.930055510581182,8.031999969482422,7.1339444283836615
AMCR,1445340032,39766400,17611265.0,2.258009291212187,0.0275135256199698,10.414837033678099,9.399999618530273,-9.744150694496522,Bearish,2024-12-10,12,22.35889886768902,10.916009603867629,10.128499937057494,9.34099027024736
DNN,892617984,32499500,21721625.0,1.4961818003947678,0.0364091924905694,1.9718399798652713,1.8899999856948853,-4.150437916162844,Bearish,2024-12-03,19,33.54697583575645,2.484126215740052,2.1869999885559084,1.8898737613717649
MU,1114169984,49394100,27283105.0,1.8104281019334127,0.0443326428725618,106.34416773128498,90.12000274658203,-15.256280932771856,Bearish,2024-12-19,3,39.08571507459223,110.45582286128665,100.51949958801269,90.58317631473874
AES,711027008,25092100,15398730.0,1.6294915230022216,0.0352899393661288,15.941217340114612,13.0,-18.450393576363258,Bullish,2024-11-27,25,41.91329316828846,13.797422542082748,13.11500005722046,12.432577572358172
BB,591582976,40700800,17074435.0,2.383727484979737,0.0687998161732091,2.5440860489161365,3.690000057220459,45.042266113306944,Bullish,2024-11-25,27,76.80529142189364,3.373446447849095,2.7739999651908875,2.17455348253268
HPE,1315330048,43677800,17727205.0,2.4638853107413152,0.0332067225761423,19.858718642199886,21.610000610351562,8.818705777069589,Bearish,2024-12-12,10,50.83940774861504,23.25777311427633,21.77249994277954,20.28722677128275
APLT,116356000,14118900,12106955.0,1.166180926583109,0.1213422599608099,4.716280451245368,0.8799999952316284,-81.34122844625878,Bullish,2024-12-20,2,16.801225326577637,9.539951726019131,2.9312499940395353,-3.6774517379400606
HOOD,763563008,28993900,26474925.0,1.095145689742275,0.0379718499930263,27.73615127701437,38.33000183105469,38.19509941460301,Bearish,2024-12-10,12,53.77278970711015,42.32255237081994,38.72050018310547,35.118447995391
AMC,381471008,23030500,20079840.0,1.1469463900110757,0.0603728711147558,4.7806564587882105,4.179999828338623,-12.56431278063098,Bearish,2024-12-09,13,42.26028622910017,5.2841522111401185,4.564999985694885,3.8458477602496517
