Ticker,outstandingShares,trainingVolume,averageTrainingVolume,relativeTrainingVolume,trainingTurnoverRatio,trainingVWAP,trainingClose,percentageChange,trainingMomentum (%),trainingCrossover,trainingCrossoverDate,daysSinceTrainingCrossover,trainingRSI,trainingUpper,trainingMiddle,trainingLower
JOBY,765086016,21058400,22578010.0,0.9326951312361008,0.0275242254591149,6.274902122478637,7.230000019073486,106.3623794873229,15.22092102717258,Bullish,2024-11-11,31,47.60785364272304,9.026131123507431,7.9874999761581424,6.948868828808854
AMCR,1445340032,16037000,17027135.0,0.9418495830331997,0.0110956589072044,10.44402685240583,9.399999618530273,100.0,-9.996405109156346,Bullish,2024-11-21,19,22.358898867689025,10.907192642981439,10.181999969482423,9.456807295983406
DNN,892617984,18035700,21276105.0,0.8476974521417336,0.0202053961753923,1.9729511516003737,1.940000057220459,97.42267680150425,-1.6701424337437956,Bullish,2024-11-19,14,35.850528278097535,2.48329842413328,2.2104999840259554,1.9377015439186307
GGB,1339260032,17807200,11703340.0,1.521548549388465,0.0132962976378884,3.312392688811087,3.109999895095825,100.0,-6.110169075029153,Bullish,2024-12-11,1,35.96967655213701,3.5855229389487393,3.3665000200271606,3.147477101105582
MSFT,7434880000,22963700,21397685.0,1.073186188132034,0.003088644335887,426.6306266342305,437.0299987792969,99.9016102608557,2.4375587442254143,Bullish,2024-11-26,23,51.43120286615721,460.5319731332165,436.22649841308595,411.9210236929554
TRNR,903627,180500,2402665.0,0.0751249133774371,0.1997505607955494,5.482000216086419,3.0899999141693115,94.49838697095669,-43.63371411219587,Bearish,2024-11-18,1,36.24683276088531,3.6438652621738465,3.097500002384186,2.551134742594525
MU,1114169984,91396800,25759160.0,3.54812812219032,0.0820312890425165,106.60497572765185,87.08999633789062,103.47916699518005,-18.30588043058792,Bullish,2024-12-04,15,35.30598004107872,109.89832113839131,101.15149955749511,92.40467797659892
AES,711027008,15220600,15211455.0,1.0006011916677269,0.0214065004968137,15.997007722326998,12.4399995803833,104.50161124201134,-22.235459303924614,Bearish,2024-11-26,1,31.018196330628978,13.810197239083406,13.127500057220459,12.444802875357512
BB,591582976,20999500,15510025.0,1.3539307641348095,0.0354971337106225,2.5035445398858474,2.9800000190734863,123.82550448330933,19.03123637693954,Bearish,2024-11-21,4,62.36902713790461,3.1680786596002886,2.7054999589920046,2.2429212583837206
HPE,1315330048,18372300,16190290.0,1.1347727557690444,0.0139678250549629,19.817596911337738,20.889999389648438,103.44663112369408,5.41136487490657,Bullish,2024-12-06,6,44.53788222309786,23.26250839144857,21.778999900817873,20.295491410187175
PBR,3721120000,16353200,16722130.0,0.9779376191908566,0.0043946983703831,14.436343900235036,12.949999809265137,100.69498188350165,-10.29584845887261,Bullish,2024-12-11,2,36.37408246684897,15.164465046565812,14.060499954223634,12.956534861881455
JD,1449500032,7279600,10479850.0,0.6946282628091051,0.0050221454565652,34.31401561427066,35.90999984741211,99.24811902280437,4.651114725487582,Bullish,2024-11-29,19,44.52322437031208,40.074900417244294,36.95674991607666,33.83859941490903
APLT,116356000,6403300,11452310.0,0.5591273725562791,0.0550319708480869,4.833845543217339,1.0199999809265137,86.27451094972407,-78.89878830824999,Bearish,2024-11-27,23,17.34719572029406,10.433506802585775,3.3507500171661375,-3.732006768253501
HOOD,763563008,25513100,26377350.0,0.9672351468210416,0.0334132216106519,27.598913327872523,36.939998626708984,103.76286750411701,33.84584453693969,Bullish,2024-11-07,33,50.39733940042641,42.49238013751358,38.558500099182126,34.624620060850674
AMC,381471008,13516300,19320440.0,0.6995855166859554,0.0354320504482479,4.788772439746464,4.090000152587891,102.2004809876055,-14.591887502500933,Bullish,2024-10-17,53,39.19947264779522,5.278854409985323,4.580499982833862,3.882145555682401
ASPI,71390096,2272900,5787840.0,0.392702631724443,0.0318377495948457,5.616110983755393,4.349999904632568,112.41379249866074,-22.5442674260721,Bullish,2024-10-16,30,41.25804212870717,7.703920062971463,5.343249988555908,2.9825799141403535
XPEV,773772032,6506600,10732220.0,0.6062678551129217,0.0084089366517708,10.495690723912466,12.710000038146973,99.44925495976297,21.097318628011948,Bullish,2024-12-09,4,51.45082729148756,13.645082214930579,12.498499965667724,11.35191771640487
AAL,657131008,17832700,26467210.0,0.6737657652619977,0.0271372067105376,11.983539404614291,16.639999389648438,101.44230636971938,38.85713417223934,Bullish,2024-12-05,13,62.050705921392854,18.472896870872752,15.938999891281128,13.405102911689504
WMT,8033390080,16606500,18199960.0,0.9124470603232095,0.0020671845677385,79.16099642834085,93.4000015258789,98.75802607798892,17.987400032827622,Bullish,2024-11-19,24,59.74308647696238,97.17560043979967,93.22700004577636,89.27839965175306
SNAP,1423059968,26885300,28805010.0,0.9333549962315584,0.0188925980665348,11.370082461726026,11.300000190734863,100.88495067351771,-0.6163743422888444,Bullish,2024-11-27,15,45.408559632644426,12.920671770620242,11.775500059127808,10.630328347635373
WDAY,214000000,4828900,4316125.0,1.1188044831880448,0.022564953271028,247.3952801722914,266.8299865722656,102.32733286555646,7.855730467630378,Bullish,2024-12-09,10,51.11787151540808,284.19928153181775,267.3680023193359,250.53672310685408
WBA,863488000,19414400,26622190.0,0.7292563083653149,0.0224836940409131,10.109659825608368,9.350000381469727,102.13903530593973,-7.51419392188033,Bearish,2024-10-25,33,49.921529977871614,10.525209604364523,9.24800009727478,7.970790590185035
BABA,2382479872,13795100,14280300.0,0.9660231227635274,0.005790227301446,91.6262953522676,84.30999755859375,97.59222056923194,-7.984932453664665,Bullish,2024-12-04,16,39.74094866371411,90.84625883683411,86.53850021362305,82.230741590412
AU,503515008,2274600,4672245.0,0.4868323471906974,0.0045174423082936,27.008887986283526,23.260000228881836,102.75150207803418,-13.880200322595895,Bullish,2024-11-25,22,37.16069475057019,26.90747646092629,25.11550016403198,23.323523867137673
COIN,204910000,11708600,12911815.0,0.9068128686788032,0.0571402078961495,240.360689955139,273.9200134277344,101.74867764038258,13.962068206269041,Bullish,2024-11-06,20,43.940865993586414,338.05440171778366,307.5230026245117,276.9916035312398
KO,4307800064,21300600,20398765.0,1.044210274494559,0.0049446584529323,66.7365759773378,62.45000076293945,100.16012565716483,-6.4231272755946645,Bearish,2024-09-06,76,41.58403052438003,64.74384896487047,63.31549968719482,61.88715040951918
